id,title,author,book_page_url,image_url
97,A Fairly Good Time,Mavis Gallant,https://www.nyrb.com/collections/classics/products/a-fairly-good-time,https://cdn.shopify.com/s/files/1/0726/9203/products/A_Fairly_Good_Time_large.jpg?v=1528394274
98,Paris Vagabond,Jean-Paul Clébert,https://www.nyrb.com/collections/classics/products/paris-vagabond,https://cdn.shopify.com/s/files/1/0726/9203/products/Paris_Vagabond_large.jpg?v=1528394275
99,Young Once,Patrick Modiano,https://www.nyrb.com/collections/classics/products/young-once,https://cdn.shopify.com/s/files/1/0726/9203/products/Young_Once_large.jpg?v=1528394275
100,In the Café of Lost Youth,Patrick Modiano,https://www.nyrb.com/collections/classics/products/in-the-cafe-of-lost-youth,https://cdn.shopify.com/s/files/1/0726/9203/products/In_the_Cafe_of_Lost_Youth_large.jpg?v=1528394275
101,Memories,Teffi,https://www.nyrb.com/collections/classics/products/memories,https://cdn.shopify.com/s/files/1/0726/9203/products/Memories_from_Moscow_to_the_Black_Sea_large.jpg?v=1528394276
102,English Renaissance Poetry,John Williams,https://www.nyrb.com/collections/classics/products/english-renaissance-poetry,https://cdn.shopify.com/s/files/1/0726/9203/products/English_Renaissance_Poetry_large.jpg?v=1528394276
103,More Was Lost,,https://www.nyrb.com/collections/classics/products/more-was-lost,https://cdn.shopify.com/s/files/1/0726/9203/products/More_Was_Lost_large.jpg?v=1528394276
104,Houses,Borislav Pekić,https://www.nyrb.com/collections/classics/products/houses,https://cdn.shopify.com/s/files/1/0726/9203/products/Houses_large.jpg?v=1528394277
105,Really the Blues,Mezz Mezzrow,https://www.nyrb.com/collections/classics/products/really-the-blues,https://cdn.shopify.com/s/files/1/0726/9203/products/6_Really_the_Blues_Mezzrow_large.jpg?v=1528394277
106,Hill,Jean Giono,https://www.nyrb.com/collections/classics/products/hill,https://cdn.shopify.com/s/files/1/0726/9203/products/14_Hill_large.jpg?v=1528394277
