openrefine_author_name,lat,long
"Margaret Cavendish, Duchess of Newcastle-upon-Tyne",53,-1
Mary Robinson,53,-1
Thomas Haynes Bayly,53,-1
"Thomas Vaux, 2nd Baron Vaux of Harrowden",53.0025,-1.128333
Walter Kempowski,53.10694444,9.396944444
Leo Tolstoy,53.20694444,39.45083333
Jonathan Swift,53.3425,-6.265833333
Frank O'Connor,53.3425,-6.265833333
Barnabe Googe,53.40039167,0.04926666667
Theodor Storm,54.12861111,9.416111111
William Wordsworth,54.433,-2.983
John Close,54.4716,-2.3479
Robert Southey,54.5999,-3.1293
John Woodcock Graves,54.823,-3.159
Tom Kristensen,55.0456,10.6672
Robert Burns,55.06666667,-3.616666667
James Hogg,55.4188,-3.1708
Anna Akhmatova,55.43333333,37.75
Walter Scott,55.59972222,-2.781944444
Boris Pasternak,55.655556,37.3325
Hans Christian Andersen,55.67611111,12.56888889
Vasily Grossman,55.75583333,37.61777778
Lev Ozerov,55.75583333,37.61777778
Varlam Shalamov,55.75583333,37.61777778
Sigizmund Krzhizhanovsky,55.75583333,37.61777778
Vladimir Mayakovsky,55.75583333,37.61777778
Andrei Platonov,55.75583333,37.61777778
Yury Olesha,55.75583333,37.61777778
Nikolai Gogol,55.75583333,37.61777778
Marina Tsvetaeva,55.76666667,52.03333333
Isaak Babel,55.78444444,37.59388889
Karen Blixen,55.8833,12.5433
"Francis Jeffrey, Lord Jeffrey",55.95,-3.198888889
William Dunbar,55.95,-3.198888889
William Roughead,55.95,-3.198888889
David Derek Stacton,55.97777778,12.4
Peter Vilhelm Glob,56.38333333,10.63333333
Robert Kirk,56.5,-4
William Cleland,56.55833333,-3.583333333
Kurt Tucholsky,57.6717061,11.98096669
Velimir Khlebnikov,58.25472222,32.51138889
Frans G. Bengtsson,58.99008333,14.0855
Sergei Esenin,59.95,30.31666667
Alexander Blok,59.95,30.31666667
Mikhail Saltykov-Shchedrin,59.95,30.31666667
Alexander Pushkin,59.95,30.31666667
Tove Jansson,60.17333333,24.94861111
Der Nister,65,90
Du Fu,28.228,112.939
